country_name,province,confirmed,confirmed_diff,confirmed_08,confirmed_increase_%,deaths,deaths_diff,deaths_08,deaths_increase_%,active,active_diff,active_08,active_increase_%,Lat,Lon,name
Frankrijk,French Polynesia,78055,0,78055,0.0,649,0,649,0.0,77406,0,77406,0.0,-17.6797,-149.4068,France
Frankrijk,French Guiana,98041,0,98041,0.0,413,0,413,0.0,97628,0,97628,0.0,4.0000,-53.0000,France
Frankrijk,Mayotte,42004,0,42004,0.0,187,0,187,0.0,41817,0,41817,0.0,-12.8431,45.1383,France
Frankrijk,Guadeloupe,201886,0,201886,0.0,1010,0,1010,0.0,200876,0,200876,0.0,16.2500,-61.5833,France
Frankrijk,Reunion,494595,0,494595,0.0,921,0,921,0.0,493674,0,493674,0.0,-21.1351,55.2471,France
Frankrijk,New Caledonia,80017,0,80017,0.0,314,0,314,0.0,79703,0,79703,0.0,-20.9043,165.6180,France
Frankrijk,Martinique,229020,0,229020,0.0,1092,0,1092,0.0,227928,0,227928,0.0,14.6415,-61.0242,France
Frankrijk,Saint Pierre and Miquelon,3452,0,3452,0.0,2,0,2,0.0,3450,0,3450,0.0,46.8852,-56.3159,France
Frankrijk,Wallis and Futuna,3427,0,3427,0.0,7,0,7,0.0,3420,0,3420,0.0,-14.2938,-178.1165,France
Griekenland,,5548487,0,5548487,0.0,34779,0,34779,0.0,5513708,0,5513708,0.0,39.0742,21.8243,Greece
Hongarije,,2196804,0,2196804,0.0,48762,0,48762,0.0,2148042,0,2148042,0.0,47.1625,19.5033,Hungary
Ierland,,1704502,0,1704502,0.0,8708,0,8708,0.0,1695794,0,1695794,0.0,53.1424,-7.6921,Ireland
Italië,Abruzzo,651674,0,651674,0.0,3931,0,3931,0.0,647743,0,647743,0.0,42.35122196,13.39843823,Italy
Italië,Basilicata,199646,0,199646,0.0,1021,0,1021,0.0,198625,0,198625,0.0,40.63947052,15.80514834,Italy
Italië,Calabria,631613,0,631613,0.0,3347,0,3347,0.0,628266,0,628266,0.0,38.90597598,16.59440194,Italy
Italië,Campania,2444797,0,2444797,0.0,11791,0,11791,0.0,2433006,0,2433006,0.0,40.83956555,14.25084984,Italy
Italië,Emilia-Romagna,2136671,0,2136671,0.0,19283,0,19283,0.0,2117388,0,2117388,0.0,44.49436681,11.341720800000001,Italy
Italië,Friuli Venezia Giulia,575033,0,575033,0.0,5998,0,5998,0.0,569035,0,569035,0.0,45.6494354,13.76813649,Italy
Italië,Lazio,2385069,0,2385069,0.0,12787,0,12787,0.0,2372282,0,2372282,0.0,41.89277044,12.48366722,Italy
Italië,Liguria,661284,0,661284,0.0,5880,0,5880,0.0,655404,0,655404,0.0,44.41149315,8.9326992,Italy
Italië,Lombardia,4118413,0,4118413,0.0,45558,0,45558,0.0,4072855,0,4072855,0.0,45.46679409,9.190347404,Italy
Italië,Marche,714100,0,714100,0.0,4399,0,4399,0.0,709701,0,709701,0.0,43.61675973,13.5188753,Italy
Italië,Molise,101826,0,101826,0.0,719,0,719,0.0,101107,0,101107,0.0,41.55774754,14.65916051,Italy
Italië,P.A. Bolzano,293808,0,293808,0.0,1610,0,1610,0.0,292198,0,292198,0.0,46.49933453,11.35662422,Italy
Italië,P.A. Trento,243951,0,243951,0.0,1647,0,1647,0.0,242304,0,242304,0.0,46.06893511,11.12123097,Italy
Italië,Piemonte,1719738,0,1719738,0.0,13828,0,13828,0.0,1705910,0,1705910,0.0,45.0732745,7.680687483,Italy
Italië,Puglia,1626850,0,1626850,0.0,9646,0,9646,0.0,1617204,0,1617204,0.0,41.12559576,16.86736689,Italy
Italië,Sardegna,509829,0,509829,0.0,2923,0,2923,0.0,506906,0,506906,0.0,39.21531192,9.110616306,Italy
Italië,Sicilia,1817733,0,1817733,0.0,12692,0,12692,0.0,1805041,0,1805041,0.0,38.11569725,13.362356699999998,Italy
Italië,Toscana,1589964,0,1589964,0.0,11574,0,11574,0.0,1578390,0,1578390,0.0,43.76923077,11.25588885,Italy
Italië,Umbria,438301,0,438301,0.0,2449,0,2449,0.0,435852,0,435852,0.0,43.10675841,12.38824698,Italy
Italië,Veneto,2692762,0,2692762,0.0,16672,0,16672,0.0,2676090,0,2676090,0.0,45.43490485,12.33845213,Italy
Kroatië,,1269326,0,1269326,0.0,17987,0,17987,0.0,1251339,0,1251339,0.0,45.1000,15.2000,Croatia
Letland,,976255,27,976228,0.002765747345906899,6269,0,6269,0.0,969986,27,969959,0.0027836228129230205,56.8796,24.6032,Latvia
Litouwen,,1307448,0,1307448,0.0,9596,0,9596,0.0,1297852,0,1297852,0.0,55.1694,23.8813,Lithuania
Luxemburg,,317367,0,317367,0.0,1220,0,1220,0.0,316147,0,316147,0.0,49.8153,6.1296,Luxembourg
Malta,,117610,0,117610,0.0,828,0,828,0.0,116782,0,116782,0.0,35.9375,14.3754,Malta
Nederland,Curacao,45986,0,45986,0.0,301,0,301,0.0,45685,0,45685,0.0,12.1696,-68.9900,Netherlands
Nederland,Aruba,44044,0,44044,0.0,282,0,282,0.0,43762,0,43762,0.0,12.5211,-69.9683,Netherlands
Nederland,Sint Maarten,11020,0,11020,0.0,91,0,91,0.0,10929,0,10929,0.0,18.0425,-63.0548,Netherlands
Nederland,"Bonaire, Sint Eustatius and Saba",11804,0,11804,0.0,41,0,41,0.0,11763,0,11763,0.0,12.1784,-68.2385,Netherlands
Nederland,Drenthe,216395,0,216395,0.0,464,0,464,0.0,215931,0,215931,0.0,52.862485,6.6184350000000025,Netherlands
Nederland,Flevoland,195741,0,195741,0.0,341,0,341,0.0,195400,0,195400,0.0,52.550383,5.515162,Netherlands
Nederland,Friesland,292969,0,292969,0.0,624,0,624,0.0,292345,0,292345,0.0,53.087337,5.7925,Netherlands
Nederland,Gelderland,1053625,0,1053625,0.0,2952,0,2952,0.0,1050673,0,1050673,0.0,52.061738,5.939114,Netherlands
Nederland,Groningen,263961,0,263961,0.0,368,0,368,0.0,263593,0,263593,0.0,53.217921999999994,6.741514,Netherlands
Nederland,Limburg,566571,0,566571,0.0,2209,0,2209,0.0,564362,0,564362,0.0,51.209227,5.93387,Netherlands
Nederland,Noord-Brabant,1305321,0,1305321,0.0,3783,0,3783,0.0,1301538,0,1301538,0.0,51.561174,5.1849419999999995,Netherlands
Nederland,Noord-Holland,1414184,0,1414184,0.0,3508,0,3508,0.0,1410676,0,1410676,0.0,52.60090600000001,4.9186879999999995,Netherlands
Nederland,Overijssel,599261,0,599261,0.0,1459,0,1459,0.0,597802,0,597802,0.0,52.444557999999994,6.441722,Netherlands
Nederland,Utrecht,708169,0,708169,0.0,1581,0,1581,0.0,706588,0,706588,0.0,52.084251,5.163824,Netherlands
Nederland,Zeeland,180656,0,180656,0.0,402,0,402,0.0,180254,0,180254,0.0,51.47936,3.8615589999999997,Netherlands
